Team,Points,Wins,Percent,Rank,Week
Brian,1636.6,7.4,49.8,5,14
Bobby,1678.8,6.6,31.6,6,14
Eric,1479.8,6.4,0,7,14
Barrett,1404.9,6.3,0,8,14
David,1368.5,5.3,0,9,14
Pfinn,1491,4.7,0,10,14
Scott,1802.01,12,100,1,15
German,1805.84,11,100,2,15
Brian,1634.24,8,100,3,15
Diaz,1578.92,8,100,4,15
Justin,1511.2,8,0,5,15
Barrett,1429.94,7,0,6,15
Bobby,1659.27,6,0,7,15
Eric,1475.03,6,0,8,15
David,1341.03,5,0,9,15
Pfinn,1481.99,4,0,10,15
