sim,Team,Points,Wins,pl_wins,Losses,Tie
176,Brian,1662.96,8,7,7,0
176,Diaz,1566.49,7,7,8,0
176,Justin,1512.66,7,7,8,0
176,Eric,1494.47,7,6,8,0
176,Bobby,1676.48,6,6,9,0
176,David,1386.93,6,5,9,0
176,Barrett,1383.96,6,6,9,0
176,Pfinn,1477.64,5,4,10,0
177,Scott,1750.39,12,11,3,0
177,German,1726.35,11,11,4,0
177,Brian,1663.28,8,7,7,0
177,Justin,1530.13,8,7,7,0
177,Diaz,1570.91,7,7,8,0
177,Eric,1494.25,7,6,8,0
177,Barrett,1402.73,7,6,8,0
177,Bobby,1698.47,6,6,9,0
177,David,1368.15,5,5,10,0
177,Pfinn,1471.87,4,4,11,0
178,Scott,1772.57,12,11,3,0
178,German,1732.06,11,11,4,0
178,Diaz,1571.57,8,7,7,0
178,Justin,1517.07,8,7,7,0
178,Bobby,1678.44,7,6,8,0
178,Brian,1633.65,7,7,8,0
178,Barrett,1403.85,7,6,8,0
178,Eric,1479.45,6,6,9,0
178,David,1374.39,5,5,10,0
178,Pfinn,1472.67,4,4,11,0
179,Scott,1797.17,12,11,3,0
179,German,1699.23,11,11,4,0
179,Diaz,1573.15,8,7,7,0
179,Bobby,1688.14,7,6,8,0
179,Brian,1638.6,7,7,8,0
179,Justin,1519.55,7,7,8,0
179,Eric,1483.31,6,6,9,0
179,Barrett,1413.1,6,6,9,0
179,David,1392.21,6,5,9,0
179,Pfinn,1506.59,5,4,10,0
180,German,1806.73,12,11,3,0
180,Scott,1780.73,11,11,4,0
180,Justin,1517.77,8,7,7,0
180,Bobby,1681.27,7,6,8,0
180,Brian,1624.75,7,7,8,0
180,Diaz,1559.8600000000001,7,7,8,0
180,Eric,1487.2,7,6,8,0
180,Barrett,1422.58,6,6,9,0
180,Pfinn,1500.61,5,4,10,0
180,David,1352.54,5,5,10,0
181,Scott,1794.14,12,11,3,0
181,German,1759.2,11,11,4,0
181,Brian,1639.83,8,7,7,0
181,Diaz,1566.1,8,7,7,0
181,Justin,1516.35,8,7,7,0
181,Bobby,1659.57,6,6,9,0
181,Eric,1472.02,6,6,9,0
181,Barrett,1384.49,6,6,9,0
181,Pfinn,1471.27,5,4,10,0
181,David,1357.51,5,5,10,0
182,Scott,1730.46,12,11,3,0
182,German,1735.05,11,11,4,0
182,Diaz,1565.8600000000001,8,7,7,0
182,Justin,1519.73,8,7,7,0
182,Bobby,1668.47,7,6,8,0
182,Brian,1629.42,7,7,8,0
182,Eric,1446.46,6,6,9,0
182,Barrett,1376.9099999999999,6,6,9,0
182,Pfinn,1483.29,5,4,10,0
182,David,1355.23,5,5,10,0
183,Scott,1740.2,12,11,3,0
183,German,1714.46,11,11,4,0
183,Brian,1628.02,8,7,7,0
183,Diaz,1557.06,8,7,7,0
183,Justin,1517.76,8,7,7,0
183,Bobby,1638.7,6,6,9,0
183,Eric,1444.63,6,6,9,0
183,Barrett,1380.48,6,6,9,0
183,Pfinn,1464.3,5,4,10,0
183,David,1372.14,5,5,10,0
184,German,1757.28,12,11,3,0
184,Scott,1745.48,11,11,4,0
184,Diaz,1579.77,8,7,7,0
184,Bobby,1712.1200000000001,7,6,8,0
184,Brian,1652.92,7,7,8,0
184,Justin,1514.33,7,7,8,0
184,Barrett,1398.58,7,6,8,0
184,Eric,1491.4,6,6,9,0
184,David,1393.74,6,5,9,0
184,Pfinn,1466.68,4,4,11,0
185,German,1829.67,12,11,3,0
185,Scott,1748.26,11,11,4,0
185,Brian,1635.53,8,7,7,0
185,Diaz,1568.73,8,7,7,0
185,Justin,1511.44,7,7,8,0
185,Bobby,1659.3600000000001,6,6,9,0
185,Eric,1480.81,6,6,9,0
185,Barrett,1393.22,6,6,9,0
185,David,1387.3700000000001,6,5,9,0
185,Pfinn,1491.07,5,4,10,0
186,German,1816.24,12,11,3,0
186,Scott,1767.99,11,11,4,0
186,Brian,1665.1299999999999,8,7,7,0
186,Justin,1531.08,8,7,7,0
186,Diaz,1570.53,7,7,8,0
186,Eric,1504.1399999999999,7,6,8,0
186,Bobby,1690.28,6,6,9,0
186,Barrett,1426.61,6,6,9,0
186,Pfinn,1509.06,5,4,10,0
186,David,1379,5,5,10,0
187,German,1781.52,12,11,3,0
187,Scott,1764.32,11,11,4,0
187,Diaz,1575.3700000000001,8,7,7,0
187,Justin,1513.28,8,7,7,0
187,Bobby,1698.52,7,6,8,0
187,Brian,1655.17,7,7,8,0
187,Eric,1471.32,6,6,9,0
187,Barrett,1399.68,6,6,9,0
187,Pfinn,1482.41,5,4,10,0
187,David,1365.72,5,5,10,0
188,Scott,1772.08,12,11,3,0
188,German,1751.49,11,11,4,0
188,Diaz,1567.41,8,7,7,0
188,Bobby,1695.59,7,6,8,0
188,Brian,1634.31,7,7,8,0
188,Justin,1507.27,7,7,8,0
188,Eric,1488.54,6,6,9,0
188,Barrett,1402.76,6,6,9,0
188,David,1386.03,6,5,9,0
188,Pfinn,1489.84,5,4,10,0
189,German,1760.68,12,11,3,0
189,Scott,1728.07,11,11,4,0
189,Brian,1656.93,8,7,7,0
189,Diaz,1574.41,8,7,7,0
189,Justin,1507.71,7,7,8,0
189,Bobby,1647.71,6,6,9,0
189,Eric,1490.49,6,6,9,0
189,David,1392.1,6,5,9,0
189,Barrett,1391.44,6,6,9,0
189,Pfinn,1471.7,5,4,10,0
190,German,1839.27,12,11,3,0
190,Scott,1734.21,11,11,4,0
190,Brian,1629.84,8,7,7,0
190,Justin,1532.17,8,7,7,0
190,Diaz,1559.97,7,7,8,0
190,Eric,1490.07,7,6,8,0
190,Bobby,1655.52,6,6,9,0
190,Barrett,1409.22,6,6,9,0
190,Pfinn,1502.4,5,4,10,0
190,David,1372.96,5,5,10,0
191,Scott,1759.16,12,11,3,0
191,German,1765.19,11,11,4,0
191,Diaz,1572.67,8,7,7,0
191,Justin,1518.71,8,7,7,0
191,Bobby,1660.14,7,6,8,0
191,Brian,1611.23,7,7,8,0
191,Eric,1484.34,6,6,9,0
191,Barrett,1411.72,6,6,9,0
191,Pfinn,1511.86,5,4,10,0
191,David,1372.06,5,5,10,0
192,Scott,1807.18,12,11,3,0
192,German,1764.57,11,11,4,0
192,Brian,1640.03,8,7,7,0
192,Diaz,1584.52,8,7,7,0
192,Justin,1524.91,8,7,7,0
192,Bobby,1650.48,6,6,9,0
192,Eric,1506.01,6,6,9,0
192,Barrett,1394.23,6,6,9,0
192,Pfinn,1489.12,5,4,10,0
192,David,1362.66,5,5,10,0
193,German,1757.99,12,11,3,0
193,Scott,1695.95,11,11,4,0
193,Brian,1664.86,8,7,7,0
193,Justin,1519.91,8,7,7,0
193,Diaz,1546.6,7,7,8,0
193,Eric,1503.44,7,6,8,0
193,Barrett,1413.6,7,6,8,0
193,Bobby,1659.58,6,6,9,0
193,David,1363.27,5,5,10,0
193,Pfinn,1473.29,4,4,11,0
194,German,1771.22,12,11,3,0
194,Scott,1742.83,11,11,4,0
194,Brian,1636.17,8,7,7,0
194,Diaz,1567.06,8,7,7,0
194,Justin,1502.99,7,7,8,0
194,Bobby,1643.09,6,6,9,0
194,Eric,1476.6399999999999,6,6,9,0
194,Barrett,1416.22,6,6,9,0
194,David,1377.31,6,5,9,0
194,Pfinn,1491.94,5,4,10,0
195,Scott,1777.4,12,11,3,0
195,German,1769.37,11,11,4,0
195,Justin,1516.52,8,7,7,0
195,Bobby,1685.81,7,6,8,0
195,Brian,1642.6399999999999,7,7,8,0
195,Diaz,1547.84,7,7,8,0
195,Eric,1500.81,7,6,8,0
195,Barrett,1422.77,7,6,8,0
195,David,1356.46,5,5,10,0
195,Pfinn,1477.87,4,4,11,0
196,German,1780.23,12,11,3,0
196,Scott,1753.33,11,11,4,0
196,Brian,1648.81,8,7,7,0
196,Diaz,1564.66,8,7,7,0
196,Justin,1507.52,8,7,7,0
196,Barrett,1429.45,7,6,8,0
196,Bobby,1675.41,6,6,9,0
196,Eric,1473.68,6,6,9,0
196,David,1353.41,5,5,10,0
196,Pfinn,1487,4,4,11,0
197,German,1827.94,12,11,3,0
197,Scott,1708.82,11,11,4,0
197,Brian,1648.92,8,7,7,0
197,Justin,1505.3600000000001,8,7,7,0
197,Diaz,1569.35,7,7,8,0
197,Eric,1491.94,7,6,8,0
197,Barrett,1423.26,7,6,8,0
197,Bobby,1649.96,6,6,9,0
197,David,1358.1100000000001,5,5,10,0
197,Pfinn,1484.36,4,4,11,0
198,German,1762.55,12,11,3,0
198,Scott,1741.73,11,11,4,0
198,Diaz,1558.67,8,7,7,0
198,Justin,1514.88,8,7,7,0
198,Bobby,1700.92,7,6,8,0
198,Brian,1599.46,7,7,8,0
198,Barrett,1408.1599999999999,7,6,8,0
198,Eric,1430.49,6,6,9,0
198,David,1367.68,5,5,10,0
198,Pfinn,1474.27,4,4,11,0
199,German,1793.2,12,11,3,0
199,Scott,1773.95,11,11,4,0
199,Brian,1662.1,8,7,7,0
199,Justin,1526.59,8,7,7,0
199,Diaz,1564.6,7,7,8,0
199,Eric,1492.71,7,6,8,0
199,Bobby,1692.94,6,6,9,0
199,Barrett,1401.82,6,6,9,0
199,Pfinn,1476.27,5,4,10,0
199,David,1378.58,5,5,10,0
200,German,1773.92,12,11,3,0
200,Scott,1756.97,11,11,4,0
200,Brian,1623.8899999999999,8,7,7,0
200,Diaz,1575.15,8,7,7,0
200,Justin,1526.25,8,7,7,0
200,Bobby,1655.32,6,6,9,0
200,Eric,1480.67,6,6,9,0
200,Barrett,1399.58,6,6,9,0
200,Pfinn,1499.46,5,4,10,0
200,David,1374.25,5,5,10,0
201,German,1801.99,12,11,3,0
201,Scott,1752.75,11,11,4,0
201,Diaz,1574.21,8,7,7,0
201,Justin,1524.05,8,7,7,0
201,Bobby,1685.25,7,6,8,0
201,Brian,1628.48,7,7,8,0
201,Barrett,1425.73,7,6,8,0
201,Eric,1484.07,6,6,9,0
201,David,1342.66,5,5,10,0
201,Pfinn,1476.81,4,4,11,0
202,German,1720.79,12,11,3,0
202,Scott,1702.8400000000001,11,11,4,0
202,Justin,1524.75,8,7,7,0
202,Bobby,1666.17,7,6,8,0
202,Brian,1612.6599999999999,7,7,8,0
202,Diaz,1565.1100000000001,7,7,8,0
202,Eric,1515.32,7,6,8,0
202,Barrett,1409.78,6,6,9,0
202,Pfinn,1542.38,5,4,10,0
202,David,1376.09,5,5,10,0
203,German,1771.63,12,11,3,0
203,Scott,1749.42,11,11,4,0
203,Justin,1538.25,8,7,7,0
203,Bobby,1683.28,7,6,8,0
203,Brian,1644.58,7,7,8,0
203,Diaz,1576.45,7,7,8,0
203,Eric,1507.82,7,6,8,0
203,Barrett,1429.24,7,6,8,0
203,David,1345.8600000000001,5,5,10,0
203,Pfinn,1478.04,4,4,11,0
204,Scott,1792.02,12,11,3,0
204,German,1776.64,11,11,4,0
204,Brian,1666.1599999999999,8,7,7,0
204,Diaz,1574.03,8,7,7,0
204,Justin,1526.46,8,7,7,0
204,Bobby,1672.5,6,6,9,0
204,Eric,1463.67,6,6,9,0
204,Barrett,1402.07,6,6,9,0
204,Pfinn,1518.51,5,4,10,0
204,David,1351.17,5,5,10,0
205,Scott,1768.95,12,11,3,0
205,German,1767.41,11,11,4,0
205,Brian,1631.46,8,7,7,0
205,Justin,1525.85,8,7,7,0
205,Diaz,1550.71,7,7,8,0
205,Eric,1499.53,7,6,8,0
205,Bobby,1648.1,6,6,9,0
205,Barrett,1398.97,6,6,9,0
205,Pfinn,1490.94,5,4,10,0
205,David,1347.44,5,5,10,0
206,German,1760.6100000000001,12,11,3,0
206,Scott,1726.54,11,11,4,0
206,Diaz,1551.6,8,7,7,0
206,Bobby,1673.99,7,6,8,0
206,Brian,1627.69,7,7,8,0
206,Justin,1515.25,7,7,8,0
206,Eric,1469.1,6,6,9,0
206,Barrett,1407.1,6,6,9,0
206,David,1380.84,6,5,9,0
206,Pfinn,1490.48,5,4,10,0
207,German,1751.52,12,11,3,0
207,Scott,1735.55,11,11,4,0
207,Diaz,1572.4,8,7,7,0
207,Justin,1532.34,8,7,7,0
207,Bobby,1706.13,7,6,8,0
207,Brian,1634.25,7,7,8,0
207,Barrett,1419.2,7,6,8,0
207,Eric,1490.99,6,6,9,0
207,David,1378.32,5,5,10,0
207,Pfinn,1492.87,4,4,11,0
208,German,1761.22,12,11,3,0
208,Scott,1739.43,11,11,4,0
208,Justin,1521.64,8,7,7,0
208,Bobby,1712.83,7,6,8,0
208,Brian,1655.31,7,7,8,0
208,Diaz,1558.2,7,7,8,0
208,Eric,1485.2,7,6,8,0
208,Barrett,1410.49,6,6,9,0
208,Pfinn,1502.67,5,4,10,0
208,David,1377.6200000000001,5,5,10,0
209,Scott,1776.69,12,11,3,0
209,German,1681.92,11,11,4,0
209,Diaz,1565.98,8,7,7,0
209,Bobby,1668.28,7,6,8,0
209,Brian,1630.84,7,7,8,0
209,Justin,1515.7,7,7,8,0
209,Barrett,1428.05,7,6,8,0
209,Eric,1456.29,6,6,9,0
209,David,1393.56,6,5,9,0
209,Pfinn,1486.26,4,4,11,0
210,German,1760.06,12,11,3,0
210,Scott,1737.1100000000001,11,11,4,0
210,Diaz,1570.77,8,7,7,0
210,Bobby,1686.64,7,6,8,0
210,Brian,1624.33,7,7,8,0
210,Justin,1509.63,7,7,8,0
210,Barrett,1406,7,6,8,0
210,Eric,1466.16,6,6,9,0
210,David,1377.16,6,5,9,0
210,Pfinn,1463.87,4,4,11,0
211,Scott,1757.89,12,11,3,0
211,German,1750.83,11,11,4,0
211,Brian,1657.03,8,7,7,0
211,Diaz,1567.77,8,7,7,0
211,Justin,1508.83,7,7,8,0
211,Bobby,1663.69,6,6,9,0
211,Eric,1466.16,6,6,9,0
211,Barrett,1394.73,6,6,9,0
211,David,1392.43,6,5,9,0
211,Pfinn,1515.67,5,4,10,0
212,German,1750.1,12,11,3,0
212,Scott,1741.6000000000001,11,11,4,0
212,Bobby,1706.4,7,6,8,0
212,Brian,1639.28,7,7,8,0
212,Diaz,1555.51,7,7,8,0
212,Justin,1504.39,7,7,8,0
212,Eric,1486.12,7,6,8,0
212,Barrett,1407.57,6,6,9,0
212,David,1367.26,6,5,9,0
212,Pfinn,1502.77,5,4,10,0
213,German,1791.77,12,11,3,0
213,Scott,1735,11,11,4,0
213,Diaz,1560.6,8,7,7,0
213,Bobby,1713.6200000000001,7,6,8,0
213,Brian,1600.93,7,7,8,0
213,Justin,1518.07,7,7,8,0
213,Barrett,1401.27,7,6,8,0
213,Eric,1467.36,6,6,9,0
213,David,1380.39,6,5,9,0
213,Pfinn,1463.64,4,4,11,0
214,German,1778.99,12,11,3,0
214,Scott,1752.18,11,11,4,0
214,Brian,1657.3,8,7,7,0
214,Diaz,1581.35,8,7,7,0
214,Justin,1533.31,8,7,7,0
214,Barrett,1417.4,7,6,8,0
214,Bobby,1662.78,6,6,9,0
214,Eric,1486.75,6,6,9,0
214,David,1378.8700000000001,5,5,10,0
214,Pfinn,1482.54,4,4,11,0
215,Scott,1778.27,12,11,3,0
215,German,1769.68,11,11,4,0
215,Brian,1644.77,8,7,7,0
215,Diaz,1558.72,8,7,7,0
215,Justin,1526.67,8,7,7,0
215,Barrett,1441.03,7,6,8,0
215,Bobby,1651.6,6,6,9,0
215,Eric,1471.67,6,6,9,0
215,David,1361.66,5,5,10,0
215,Pfinn,1482.77,4,4,11,0
216,Scott,1771.3400000000001,12,11,3,0
216,German,1777.93,11,11,4,0
216,Brian,1621.55,8,7,7,0
216,Diaz,1559.42,8,7,7,0
216,Justin,1512.47,7,7,8,0
216,Barrett,1416.73,7,6,8,0
216,Bobby,1656.71,6,6,9,0
216,Eric,1468.21,6,6,9,0
216,David,1376.84,6,5,9,0
216,Pfinn,1489.71,4,4,11,0
217,Scott,1767.31,12,11,3,0
217,German,1750.71,11,11,4,0
217,Diaz,1566.34,8,7,7,0
217,Justin,1513.91,8,7,7,0
217,Bobby,1669.3600000000001,7,6,8,0
217,Brian,1622.9,7,7,8,0
217,Eric,1469.82,6,6,9,0
217,Barrett,1369.37,6,6,9,0
217,Pfinn,1510.37,5,4,10,0
217,David,1366.56,5,5,10,0
218,Scott,1792.15,12,11,3,0
218,German,1760.81,11,11,4,0
218,Brian,1621.1399999999999,8,7,7,0
218,Justin,1520.32,8,7,7,0
218,Diaz,1569.1200000000001,7,7,8,0
218,Eric,1497.43,7,6,8,0
218,Bobby,1652.47,6,6,9,0
218,Barrett,1407.7,6,6,9,0
218,Pfinn,1500.15,5,4,10,0
218,David,1355.67,5,5,10,0
219,German,1792.46,12,11,3,0
219,Scott,1763.8,11,11,4,0
219,Justin,1517.16,8,7,7,0
219,Bobby,1706.93,7,6,8,0
219,Brian,1630.01,7,7,8,0
219,Diaz,1561.04,7,7,8,0
219,Eric,1489.17,7,6,8,0
219,Barrett,1437.19,7,6,8,0
219,David,1361.95,5,5,10,0
219,Pfinn,1495.6,4,4,11,0
220,German,1787.8600000000001,12,11,3,0
220,Scott,1767.02,11,11,4,0
220,Justin,1511.81,8,7,7,0
220,Bobby,1677.06,7,6,8,0
220,Brian,1609.5,7,7,8,0
220,Diaz,1571.64,7,7,8,0
220,Eric,1514.6399999999999,7,6,8,0
220,Barrett,1426.03,7,6,8,0
220,David,1369.83,5,5,10,0
220,Pfinn,1458.44,4,4,11,0
221,German,1764.31,12,11,3,0
221,Scott,1752.97,11,11,4,0
221,Diaz,1581.55,8,7,7,0
221,Bobby,1709.82,7,6,8,0
221,Brian,1617.24,7,7,8,0
221,Justin,1521.23,7,7,8,0
221,Eric,1478.27,6,6,9,0
221,Barrett,1401.97,6,6,9,0
221,David,1381.6100000000001,6,5,9,0
221,Pfinn,1490.99,5,4,10,0
222,German,1777.1100000000001,12,11,3,0
222,Scott,1691.55,11,11,4,0
222,Brian,1653.81,8,7,7,0
222,Justin,1527.09,8,7,7,0
222,Diaz,1563.66,7,7,8,0
222,Eric,1486.6,7,6,8,0
222,Bobby,1681.96,6,6,9,0
222,Barrett,1407.08,6,6,9,0
222,Pfinn,1490.03,5,4,10,0
222,David,1371.2,5,5,10,0
223,German,1811.8600000000001,12,11,3,0
223,Scott,1699.98,11,11,4,0
223,Bobby,1695.38,7,6,8,0
223,Brian,1607.3899999999999,7,7,8,0
223,Diaz,1540.43,7,7,8,0
223,Justin,1522.65,7,7,8,0
223,Eric,1466.28,7,6,8,0
223,Barrett,1412.56,6,6,9,0
223,David,1386.1200000000001,6,5,9,0
223,Pfinn,1488.77,5,4,10,0
224,German,1801.48,12,11,3,0
224,Scott,1709.47,11,11,4,0
224,Diaz,1579.69,8,7,7,0
224,Bobby,1691.89,7,6,8,0
224,Brian,1620.1299999999999,7,7,8,0
224,Justin,1515.05,7,7,8,0
224,Eric,1486.61,6,6,9,0
224,David,1406.19,6,5,9,0
224,Barrett,1382.43,6,6,9,0
224,Pfinn,1506.1,5,4,10,0
225,Scott,1733.01,12,11,3,0
225,German,1727.23,11,11,4,0
225,Justin,1525.99,8,7,7,0
225,Bobby,1694.59,7,6,8,0
225,Brian,1608.55,7,7,8,0
225,Diaz,1571.6100000000001,7,7,8,0
225,Eric,1499.93,7,6,8,0
225,Barrett,1362.76,6,6,9,0
225,Pfinn,1494.73,5,4,10,0
225,David,1380.59,5,5,10,0
226,German,1790.49,12,11,3,0
226,Scott,1731.93,11,11,4,0
226,Brian,1640.61,8,7,7,0
226,Diaz,1550.51,7,7,8,0
226,Justin,1503.04,7,7,8,0
226,Eric,1485.63,7,6,8,0
226,Barrett,1425.47,7,6,8,0
226,Bobby,1624.9,6,6,9,0
226,David,1363.78,6,5,9,0
226,Pfinn,1492.84,4,4,11,0
227,Scott,1753.4,12,11,3,0
227,German,1752.58,11,11,4,0
227,Brian,1680.3,8,7,7,0
227,Justin,1509.26,8,7,7,0
227,Diaz,1562.2,7,7,8,0
227,Eric,1492.74,7,6,8,0
227,Bobby,1640.41,6,6,9,0
227,Barrett,1395.1399999999999,6,6,9,0
227,Pfinn,1500.68,5,4,10,0
227,David,1354.63,5,5,10,0
228,German,1791.95,12,11,3,0
228,Scott,1721.66,11,11,4,0
228,Diaz,1582.91,8,7,7,0
228,Bobby,1718.41,7,6,8,0
228,Brian,1626.62,7,7,8,0
228,Justin,1508.95,7,7,8,0
228,Eric,1499.36,6,6,9,0
228,Barrett,1400.37,6,6,9,0
228,David,1367.84,6,5,9,0
228,Pfinn,1509.16,5,4,10,0
229,German,1775.5,12,11,3,0
229,Scott,1730.6200000000001,11,11,4,0
229,Brian,1654.72,8,7,7,0
229,Diaz,1556.55,8,7,7,0
229,Justin,1522.23,8,7,7,0
229,Bobby,1690.48,6,6,9,0
229,Eric,1474.04,6,6,9,0
229,Barrett,1386.87,6,6,9,0
229,Pfinn,1499.39,5,4,10,0
229,David,1362.64,5,5,10,0
230,Scott,1810.55,12,11,3,0
230,German,1757.67,11,11,4,0
230,Diaz,1578.96,8,7,7,0
230,Justin,1519.39,8,7,7,0
230,Bobby,1678.06,7,6,8,0
230,Brian,1636.67,7,7,8,0
230,Eric,1492.32,6,6,9,0
230,Barrett,1407.37,6,6,9,0
230,Pfinn,1501.31,5,4,10,0
230,David,1355.04,5,5,10,0
231,Scott,1756.26,12,11,3,0
231,German,1744.93,11,11,4,0
231,Brian,1648.11,8,7,7,0
231,Diaz,1566.1100000000001,7,7,8,0
231,Justin,1521.75,7,7,8,0
231,Eric,1508.56,7,6,8,0
231,Bobby,1648.69,6,6,9,0
231,Barrett,1429.25,6,6,9,0
231,David,1385.75,6,5,9,0
231,Pfinn,1506.22,5,4,10,0
232,German,1775.56,12,11,3,0
232,Scott,1746.13,11,11,4,0
232,Brian,1657.01,8,7,7,0
232,Diaz,1565.39,8,7,7,0
232,Justin,1520.2,8,7,7,0
232,Bobby,1654.77,6,6,9,0
232,Eric,1466.01,6,6,9,0
232,Barrett,1403.94,6,6,9,0
232,Pfinn,1496.06,5,4,10,0
232,David,1365.75,5,5,10,0
233,German,1797.46,12,11,3,0
233,Scott,1779.6100000000001,11,11,4,0
233,Diaz,1580.63,8,7,7,0
233,Bobby,1696.08,7,6,8,0
233,Brian,1625.01,7,7,8,0
233,Justin,1506.35,7,7,8,0
233,Eric,1469.71,6,6,9,0
233,Barrett,1385.3799999999999,6,6,9,0
233,David,1365.03,6,5,9,0
233,Pfinn,1486.03,5,4,10,0
234,German,1776.26,12,11,3,0
234,Scott,1759.6200000000001,11,11,4,0
234,Bobby,1695.24,7,6,8,0
234,Brian,1641.6,7,7,8,0
234,Diaz,1560.5,7,7,8,0
234,Justin,1530.19,7,7,8,0
234,Eric,1493.2,7,6,8,0
234,Barrett,1426.32,6,6,9,0
234,David,1391.92,6,5,9,0
234,Pfinn,1502.35,5,4,10,0
235,German,1777.44,12,11,3,0
235,Scott,1732.6000000000001,11,11,4,0
235,Bobby,1676.84,7,6,8,0
235,Brian,1605.84,7,7,8,0
235,Diaz,1545.94,7,7,8,0
235,Justin,1508.43,7,7,8,0
235,Eric,1484.62,7,6,8,0
235,David,1379.1200000000001,6,5,9,0
235,Barrett,1352.79,6,6,9,0
235,Pfinn,1508.47,5,4,10,0
236,German,1813.92,12,11,3,0
236,Scott,1717.94,11,11,4,0
236,Brian,1636.98,8,7,7,0
236,Diaz,1561.8700000000001,8,7,7,0
236,Justin,1519.38,8,7,7,0
236,Bobby,1646.88,6,6,9,0
236,Eric,1456.35,6,6,9,0
236,Barrett,1393.48,6,6,9,0
236,Pfinn,1482.5,5,4,10,0
236,David,1352.04,5,5,10,0
237,German,1801.4,12,11,3,0
237,Scott,1772.69,11,11,4,0
237,Diaz,1578.01,8,7,7,0
237,Justin,1515.84,8,7,7,0
237,Bobby,1689.96,7,6,8,0
237,Brian,1640.2,7,7,8,0
237,Barrett,1412.44,7,6,8,0
237,Eric,1446.73,6,6,9,0
237,David,1354.26,5,5,10,0
237,Pfinn,1482.64,4,4,11,0
238,German,1812.1,12,11,3,0
238,Scott,1751.6100000000001,11,11,4,0
238,Diaz,1565.57,8,7,7,0
238,Bobby,1675.3,7,6,8,0
238,Brian,1635.36,7,7,8,0
238,Justin,1510.92,7,7,8,0
238,Barrett,1409.97,7,6,8,0
238,Eric,1469.52,6,6,9,0
238,David,1369.21,6,5,9,0
238,Pfinn,1476.11,4,4,11,0
239,German,1796.51,12,11,3,0
239,Scott,1743.92,11,11,4,0
239,Brian,1636.9099999999999,8,7,7,0
239,Diaz,1572.74,8,7,7,0
239,Justin,1522.21,8,7,7,0
239,Barrett,1441.47,7,6,8,0
239,Bobby,1639.3,6,6,9,0
239,Eric,1460.9,6,6,9,0
239,David,1327.39,5,5,10,0
239,Pfinn,1499.36,4,4,11,0
240,Scott,1752.79,12,11,3,0
240,German,1747.02,11,11,4,0
240,Diaz,1564.3,8,7,7,0
240,Bobby,1682.1200000000001,7,6,8,0
240,Brian,1609.54,7,7,8,0
240,Justin,1509.97,7,7,8,0
240,Eric,1486.36,6,6,9,0
240,David,1376.09,6,5,9,0
240,Barrett,1374.1599999999999,6,6,9,0
240,Pfinn,1490.01,5,4,10,0
241,German,1781.1100000000001,12,11,3,0
241,Scott,1726.16,11,11,4,0
241,Diaz,1584.24,8,7,7,0
241,Bobby,1699.02,7,6,8,0
241,Brian,1649.51,7,7,8,0
241,Justin,1510.75,7,7,8,0
241,Eric,1467.77,6,6,9,0
241,Barrett,1397.2,6,6,9,0
241,David,1377.45,6,5,9,0
241,Pfinn,1474.43,5,4,10,0
242,Scott,1783.13,12,11,3,0
242,German,1736.25,11,11,4,0
242,Diaz,1568.89,8,7,7,0
242,Justin,1527,8,7,7,0
242,Bobby,1704.15,7,6,8,0
242,Brian,1609.42,7,7,8,0
242,Eric,1473.5,6,6,9,0
242,Barrett,1400.17,6,6,9,0
242,Pfinn,1490,5,4,10,0
242,David,1380.06,5,5,10,0
243,German,1783.35,12,11,3,0
243,Scott,1694.44,11,11,4,0
243,Brian,1635.4,8,7,7,0
243,Diaz,1552.6,7,7,8,0
243,Justin,1517.5,7,7,8,0
243,Eric,1478.8,7,6,8,0
243,Bobby,1660.32,6,6,9,0
243,Barrett,1403.8899999999999,6,6,9,0
243,David,1388.21,6,5,9,0
243,Pfinn,1482.94,5,4,10,0
244,German,1795.77,12,11,3,0
244,Scott,1754.21,11,11,4,0
244,Diaz,1551.09,8,7,7,0
244,Bobby,1730.2,7,6,8,0
244,Brian,1654.1299999999999,7,7,8,0
244,Justin,1530.63,7,7,8,0
244,Eric,1468.54,6,6,9,0
244,Barrett,1415.79,6,6,9,0
244,David,1390.1200000000001,6,5,9,0
244,Pfinn,1516.93,5,4,10,0
245,German,1788.15,12,11,3,0
245,Scott,1720.88,11,11,4,0
245,Diaz,1574.8,8,7,7,0
245,Bobby,1685.98,7,6,8,0
245,Brian,1614.43,7,7,8,0
245,Justin,1517.14,7,7,8,0
245,Eric,1465.65,6,6,9,0
245,David,1379.53,6,5,9,0
245,Barrett,1374.69,6,6,9,0
245,Pfinn,1509.28,5,4,10,0
246,German,1777.09,12,11,3,0
246,Scott,1751.58,11,11,4,0
246,Brian,1611.86,8,7,7,0
246,Diaz,1584.46,8,7,7,0
246,Justin,1507.2,8,7,7,0
246,Bobby,1627.57,6,6,9,0
246,Eric,1493.06,6,6,9,0
246,Barrett,1394.6599999999999,6,6,9,0
246,Pfinn,1484.63,5,4,10,0
246,David,1348.32,5,5,10,0
247,Scott,1763.42,12,11,3,0
247,German,1743.04,11,11,4,0
247,Justin,1514.04,8,7,7,0
247,Bobby,1706.31,7,6,8,0
247,Brian,1629.77,7,7,8,0
247,Diaz,1562.05,7,7,8,0
247,Eric,1496.71,7,6,8,0
247,Barrett,1374.52,6,6,9,0
247,Pfinn,1522.16,5,4,10,0
247,David,1359.01,5,5,10,0
248,Scott,1769.6100000000001,12,11,3,0
248,German,1753.84,11,11,4,0
