sim,Team,Points,Wins,pl_wins,Losses,Tie
15,Diaz,1569.02,8,7,7,0
15,Justin,1521.06,8,7,7,0
15,Bobby,1658.27,7,6,8,0
15,Brian,1603.79,7,7,8,0
15,Eric,1478.9,6,6,9,0
15,Barrett,1406.27,6,6,9,0
15,Pfinn,1512.83,5,4,10,0
15,David,1374.14,5,5,10,0
16,German,1802.62,12,11,3,0
16,Scott,1727.52,11,11,4,0
16,Justin,1520.41,8,7,7,0
16,Bobby,1685.64,7,6,8,0
16,Brian,1622.35,7,7,8,0
16,Diaz,1559.19,7,7,8,0
16,Eric,1482.96,7,6,8,0
16,Barrett,1436.47,7,6,8,0
16,David,1350.95,5,5,10,0
16,Pfinn,1506.69,4,4,11,0
17,German,1802.27,12,11,3,0
17,Scott,1786.72,11,11,4,0
17,Brian,1645.87,8,7,7,0
17,Diaz,1555.8,7,7,8,0
17,Eric,1504.06,7,6,8,0
17,Justin,1501.96,7,7,8,0
17,Bobby,1658.39,6,6,9,0
17,Barrett,1388.54,6,6,9,0
17,David,1374.14,6,5,9,0
17,Pfinn,1504.91,5,4,10,0
18,German,1757.1100000000001,12,11,3,0
18,Scott,1737.4,11,11,4,0
18,Brian,1630.42,8,7,7,0
18,Diaz,1584.1100000000001,8,7,7,0
18,Justin,1527.6100000000001,8,7,7,0
18,Bobby,1657.57,6,6,9,0
18,Eric,1472.9,6,6,9,0
18,Barrett,1374.97,6,6,9,0
18,Pfinn,1506.77,5,4,10,0
18,David,1336.56,5,5,10,0
19,Scott,1783.3700000000001,12,11,3,0
19,German,1744.56,11,11,4,0
19,Justin,1529.38,8,7,7,0
19,Bobby,1727.44,7,6,8,0
19,Brian,1637.9099999999999,7,7,8,0
19,Diaz,1565.46,7,7,8,0
19,Eric,1500.69,7,6,8,0
19,Barrett,1390.44,6,6,9,0
19,Pfinn,1495.11,5,4,10,0
19,David,1351.5,5,5,10,0
20,German,1764.35,12,11,3,0
20,Scott,1695.68,11,11,4,0
20,Diaz,1569.22,8,7,7,0
20,Bobby,1684.52,7,6,8,0
20,Brian,1645.6599999999999,7,7,8,0
20,Justin,1513.07,7,7,8,0
20,Eric,1474.86,6,6,9,0
20,Barrett,1404.4099999999999,6,6,9,0
20,David,1395.01,6,5,9,0
20,Pfinn,1499.68,5,4,10,0
21,Scott,1749.47,12,11,3,0
21,German,1748.08,11,11,4,0
21,Diaz,1559.66,8,7,7,0
21,Justin,1521.68,8,7,7,0
21,Bobby,1694.86,7,6,8,0
21,Brian,1648.3899999999999,7,7,8,0
21,Eric,1464.77,6,6,9,0
21,Barrett,1368.8799999999999,6,6,9,0
21,Pfinn,1474.7,5,4,10,0
21,David,1360.21,5,5,10,0
22,Scott,1750.54,12,11,3,0
22,German,1705.17,11,11,4,0
22,Brian,1623.78,8,7,7,0
22,Diaz,1557.05,8,7,7,0
22,Justin,1513.6100000000001,8,7,7,0
22,Barrett,1415.34,7,6,8,0
22,Bobby,1653.48,6,6,9,0
22,Eric,1456.08,6,6,9,0
22,David,1371.6100000000001,5,5,10,0
22,Pfinn,1469.36,4,4,11,0
23,German,1830.6,12,11,3,0
23,Scott,1804.88,11,11,4,0
23,Brian,1643.7,8,7,7,0
23,Diaz,1568.2,8,7,7,0
23,Justin,1512.97,8,7,7,0
23,Bobby,1646.04,6,6,9,0
23,Eric,1470.57,6,6,9,0
23,Barrett,1409.75,6,6,9,0
23,Pfinn,1485.31,5,4,10,0
23,David,1367.5,5,5,10,0
24,Scott,1756.25,12,11,3,0
24,German,1738.51,11,11,4,0
24,Brian,1669.67,8,7,7,0
24,Justin,1532.08,8,7,7,0
24,Diaz,1554.6,7,7,8,0
24,Eric,1503.58,7,6,8,0
24,Barrett,1402.1599999999999,7,6,8,0
24,Bobby,1669.33,6,6,9,0
24,David,1352.72,5,5,10,0
24,Pfinn,1473.27,4,4,11,0
25,Scott,1741.4,12,11,3,0
25,German,1726.17,11,11,4,0
25,Brian,1633.12,8,7,7,0
25,Justin,1527.04,8,7,7,0
25,Diaz,1550.57,7,7,8,0
25,Eric,1497.51,7,6,8,0
25,Barrett,1415.1299999999999,7,6,8,0
25,Bobby,1668.92,6,6,9,0
25,David,1356.76,5,5,10,0
25,Pfinn,1484.64,4,4,11,0
26,German,1767.56,12,11,3,0
26,Scott,1744.68,11,11,4,0
26,Brian,1652.69,8,7,7,0
26,Diaz,1550.73,8,7,7,0
26,Justin,1509.98,8,7,7,0
26,Bobby,1687.56,6,6,9,0
26,Eric,1463.84,6,6,9,0
26,Barrett,1371.1499999999999,6,6,9,0
26,Pfinn,1468.96,5,4,10,0
26,David,1343.59,5,5,10,0
27,Scott,1775.8,12,11,3,0
27,German,1775.22,11,11,4,0
27,Brian,1625.21,8,7,7,0
27,Justin,1526.6,8,7,7,0
27,Diaz,1562.77,7,7,8,0
27,Eric,1492.55,7,6,8,0
27,Barrett,1434.01,7,6,8,0
27,Bobby,1652.46,6,6,9,0
27,David,1333.76,5,5,10,0
27,Pfinn,1500.17,4,4,11,0
28,Scott,1757.3500000000001,12,11,3,0
28,German,1760.17,11,11,4,0
28,Diaz,1565.9,8,7,7,0
28,Justin,1523.3,8,7,7,0
28,Bobby,1710.19,7,6,8,0
28,Brian,1609.56,7,7,8,0
28,Eric,1455.98,6,6,9,0
28,Barrett,1394.94,6,6,9,0
28,Pfinn,1493.81,5,4,10,0
28,David,1368.6100000000001,5,5,10,0
29,German,1768.1,12,11,3,0
29,Scott,1744.9,11,11,4,0
29,Brian,1662.26,8,7,7,0
29,Diaz,1567.96,8,7,7,0
29,Justin,1521.3700000000001,8,7,7,0
29,Barrett,1417.93,7,6,8,0
29,Bobby,1629.3600000000001,6,6,9,0
29,Eric,1463.52,6,6,9,0
29,David,1368.54,5,5,10,0
29,Pfinn,1481.74,4,4,11,0
30,Scott,1758.54,12,11,3,0
30,German,1751.79,11,11,4,0
30,Diaz,1579.28,8,7,7,0
30,Justin,1517.52,8,7,7,0
30,Bobby,1696.4,7,6,8,0
30,Brian,1618.6299999999999,7,7,8,0
30,Eric,1471.96,6,6,9,0
30,Barrett,1390.87,6,6,9,0
30,Pfinn,1503.29,5,4,10,0
30,David,1346.6200000000001,5,5,10,0
31,Scott,1756.7,12,11,3,0
31,German,1752.23,11,11,4,0
31,Brian,1634.34,8,7,7,0
31,Justin,1521.46,8,7,7,0
31,Diaz,1564.48,7,7,8,0
31,Eric,1497.33,7,6,8,0
31,Bobby,1648.5,6,6,9,0
31,Barrett,1390.3899999999999,6,6,9,0
31,Pfinn,1494.26,5,4,10,0
31,David,1363.28,5,5,10,0
32,Scott,1776.89,12,11,3,0
32,German,1732.38,11,11,4,0
32,Brian,1673.68,8,7,7,0
32,Justin,1522.59,8,7,7,0
