Team,Points,Wins,pl_wins,Losses,Tie,sim
David,1780.64,9,8,6,0,15
Brian,1694.05,9,9,6,0,15
Barrett,1735.35,7,7,8,0,15
Diaz,1495.81,5,5,10,0,15
Eric,1427.49,2,2,13,0,15
Justin,1385.26,1,0,14,0,15
PFinn,1968.78,12,11,3,0,16
German,1959.65,12,12,3,0,16
Scott,1839.53,8,8,7,0,16
Bobby,1832.97,8,7,7,0,16
Barrett,1798.85,8,8,7,0,16
Brian,1740.18,8,8,7,0,16
David,1715.75,7,6,8,0,16
Diaz,1605.95,6,5,9,0,16
Eric,1582.1299999999999,6,5,9,0,16
Justin,1215.46,0,0,15,0,16
Scott,2165.1,12,11,3,0,17
PFinn,1942.13,11,10,4,0,17
Eric,1707.49,10,9,5,0,17
German,1774.6100000000001,9,9,6,0,17
Bobby,1811.48,7,7,8,0,17
David,1697.47,7,7,8,0,17
Brian,1637.86,7,6,8,0,17
Barrett,1746.8,6,5,9,0,17
Diaz,1551.78,6,6,9,0,17
Justin,1222.35,0,0,15,0,17
German,2208.67,13,12,2,0,18
Barrett,1969.04,12,11,3,0,18
Scott,1883.74,10,10,5,0,18
Bobby,1979.1200000000001,9,8,6,0,18
PFinn,1830.72,9,9,6,0,18
David,1679.75,7,7,8,0,18
Brian,1660.42,6,6,9,0,18
Diaz,1461.75,5,4,10,0,18
Eric,1223.66,3,2,12,0,18
Justin,1422.82,1,1,14,0,18
PFinn,1914.1399999999999,12,11,3,0,19
David,1781.16,12,11,3,0,19
Scott,2139.4700000000003,11,10,4,0,19
Bobby,1896.3300000000002,10,9,5,0,19
Barrett,1879.82,8,8,7,0,19
Brian,1634.59,7,7,8,0,19
Justin,1476.64,5,4,10,0,19
Diaz,1457.6,4,4,11,0,19
German,1289.93,4,4,11,0,19
Eric,1369.73,2,2,13,0,19
PFinn,2053.2400000000002,12,11,3,0,20
Scott,2009.5,11,10,4,0,20
Bobby,2029.14,10,10,5,0,20
Barrett,1883.02,9,8,6,0,20
German,1871.87,9,9,6,0,20
Brian,1770.51,6,5,9,0,20
David,1666.85,6,6,9,0,20
Eric,1608.07,6,6,9,0,20
Diaz,1565.45,4,4,11,0,20
Justin,1333.4,2,1,13,0,20
Bobby,1950.59,12,11,3,0,21
German,1836.99,11,10,4,0,21
PFinn,1891.24,10,10,5,0,21
Scott,1818.17,9,9,6,0,21
Diaz,1788.54,9,8,6,0,21
Brian,1735.56,8,8,7,0,21
David,1646.65,6,5,9,0,21
Barrett,1667.39,5,5,10,0,21
Eric,1554.0900000000001,3,3,12,0,21
Justin,1478.46,2,1,13,0,21
German,2087.39,12,11,3,0,22
Bobby,2034.82,12,11,3,0,22
PFinn,2022.19,11,11,4,0,22
Scott,1894.42,10,9,5,0,22
Brian,1666.91,8,8,7,0,22
David,1712.43,7,6,8,0,22
Barrett,1771.1399999999999,6,6,9,0,22
Diaz,1465.6,5,5,10,0,22
Eric,1331.49,2,2,13,0,22
Justin,1277.58,2,1,13,0,22
German,2034.58,12,11,3,0,23
Bobby,1866.02,11,10,4,0,23
PFinn,1919.3799999999999,9,9,6,0,23
Scott,1844.69,9,8,6,0,23
Diaz,1712.97,8,8,7,0,23
Barrett,1742.19,6,6,9,0,23
Brian,1722.25,6,6,9,0,23
Eric,1660.85,6,5,9,0,23
David,1591.07,6,5,9,0,23
Justin,1484.39,2,2,13,0,23
PFinn,2016.25,12,11,3,0,24
German,1870.0800000000002,12,12,3,0,24
Scott,2013.76,11,10,4,0,24
Bobby,1870.92,8,7,7,0,24
Eric,1597.43,8,7,7,0,24
Barrett,1769.18,7,6,8,0,24
Diaz,1751.56,7,7,8,0,24
David,1559.67,6,6,9,0,24
Brian,1658.52,3,3,12,0,24
Justin,1263.98,1,1,14,0,24
PFinn,1929.05,13,12,2,0,25
Bobby,2016.53,11,10,4,0,25
Scott,1901.18,11,10,4,0,25
German,1790.58,8,8,7,0,25
Brian,1714.96,7,7,8,0,25
Eric,1648.48,7,6,8,0,25
Barrett,1760.59,6,5,9,0,25
David,1655.31,6,6,9,0,25
Diaz,1731.1100000000001,5,5,10,0,25
Justin,1231.48,1,1,14,0,25
Scott,2293.02,13,12,2,0,26
PFinn,2024.95,11,10,4,0,26
German,1970.65,10,10,5,0,26
Barrett,1747.14,9,9,6,0,26
Bobby,1879.63,8,8,7,0,26
Diaz,1646.48,7,7,8,0,26
Eric,1709.99,6,5,9,0,26
Brian,1605.27,5,4,10,0,26
David,1510.07,5,4,10,0,26
Justin,1371.07,1,1,14,0,26
Scott,2170.26,13,12,2,0,27
PFinn,1822.8,11,11,4,0,27
Bobby,1953.02,9,8,6,0,27
German,1748.38,8,7,7,0,27
David,1668.46,8,7,7,0,27
Eric,1619.6,8,7,7,0,27
Barrett,1825.86,7,7,8,0,27
Diaz,1524.66,6,6,9,0,27
Brian,1580.59,4,4,11,0,27
Justin,1337.59,1,1,14,0,27
German,2035.8,11,10,4,0,28
Scott,1900.78,11,10,4,0,28
Bobby,1897.05,10,9,5,0,28
