Team,Points,Wins,pl_wins,Losses,Tie,sim
Bethany,1618.5,7,7,7,0,15
Scott,1497.5,5,5,9,0,15
Burg,1448,4,4,10,0,15
Wikle,1692,9,9,5,0,16
Brazil,1802,8,8,6,0,16
Rebecca,1743.5,8,8,6,0,16
Jersey,1723,8,8,6,0,16
Ford,1828.5,7,7,7,0,16
Kral,1661.5,7,7,7,0,16
Jangaard,1620,7,7,7,0,16
Bethany,1618.5,7,7,7,0,16
Scott,1497.5,5,5,9,0,16
Burg,1448,4,4,10,0,16
Wikle,1692,9,9,5,0,17
Brazil,1802,8,8,6,0,17
Rebecca,1743.5,8,8,6,0,17
Jersey,1723,8,8,6,0,17
Ford,1828.5,7,7,7,0,17
Kral,1661.5,7,7,7,0,17
Jangaard,1620,7,7,7,0,17
Bethany,1618.5,7,7,7,0,17
Scott,1497.5,5,5,9,0,17
Burg,1448,4,4,10,0,17
Wikle,1692,9,9,5,0,18
Brazil,1802,8,8,6,0,18
Rebecca,1743.5,8,8,6,0,18
Jersey,1723,8,8,6,0,18
Ford,1828.5,7,7,7,0,18
Kral,1661.5,7,7,7,0,18
Jangaard,1620,7,7,7,0,18
Bethany,1618.5,7,7,7,0,18
Scott,1497.5,5,5,9,0,18
Burg,1448,4,4,10,0,18
Wikle,1692,9,9,5,0,19
Brazil,1802,8,8,6,0,19
Rebecca,1743.5,8,8,6,0,19
Jersey,1723,8,8,6,0,19
Ford,1828.5,7,7,7,0,19
Kral,1661.5,7,7,7,0,19
Jangaard,1620,7,7,7,0,19
Bethany,1618.5,7,7,7,0,19
Scott,1497.5,5,5,9,0,19
Burg,1448,4,4,10,0,19
Wikle,1692,9,9,5,0,20
Brazil,1802,8,8,6,0,20
Rebecca,1743.5,8,8,6,0,20
Jersey,1723,8,8,6,0,20
Ford,1828.5,7,7,7,0,20
Kral,1661.5,7,7,7,0,20
Jangaard,1620,7,7,7,0,20
Bethany,1618.5,7,7,7,0,20
Scott,1497.5,5,5,9,0,20
Burg,1448,4,4,10,0,20
Wikle,1692,9,9,5,0,21
Brazil,1802,8,8,6,0,21
Rebecca,1743.5,8,8,6,0,21
Jersey,1723,8,8,6,0,21
Ford,1828.5,7,7,7,0,21
Kral,1661.5,7,7,7,0,21
Jangaard,1620,7,7,7,0,21
Bethany,1618.5,7,7,7,0,21
Scott,1497.5,5,5,9,0,21
Burg,1448,4,4,10,0,21
Wikle,1692,9,9,5,0,22
Brazil,1802,8,8,6,0,22
Rebecca,1743.5,8,8,6,0,22
Jersey,1723,8,8,6,0,22
Ford,1828.5,7,7,7,0,22
Kral,1661.5,7,7,7,0,22
Jangaard,1620,7,7,7,0,22
Bethany,1618.5,7,7,7,0,22
Scott,1497.5,5,5,9,0,22
Burg,1448,4,4,10,0,22
Wikle,1692,9,9,5,0,23
Brazil,1802,8,8,6,0,23
Rebecca,1743.5,8,8,6,0,23
Jersey,1723,8,8,6,0,23
Ford,1828.5,7,7,7,0,23
Kral,1661.5,7,7,7,0,23
Jangaard,1620,7,7,7,0,23
Bethany,1618.5,7,7,7,0,23
Scott,1497.5,5,5,9,0,23
Burg,1448,4,4,10,0,23
Wikle,1692,9,9,5,0,24
Brazil,1802,8,8,6,0,24
Rebecca,1743.5,8,8,6,0,24
Jersey,1723,8,8,6,0,24
